GPM,GPH,3/8",1/2",3/4",1",1 1/4",1 1/2",2",2 1/2",3",4",6",8",10"
1,60,4.25,1.38,0.356,0.11,0,0,0,0,0,0,0,0,0
2,120,15.13,4.83,1.21,0.38,0.10,0,0,0,0,0,0,0,0
3,180,31.97,9.96,2.51,0.77,0.21,0.10,0,0,0,0,0,0,0
4,240,54.97,17.07,4.21,1.30,0.35,0.16,0,0,0,0,0,0,0
5,300,84.41,25.76,6.33,1.92,0.51,0.24,0,0,0,0,0,0,0
6,360,0,36.34,8.83,2.69,0.71,0.33,0.10,0,0,0,0,0,0
8,480,0,63.71,15.18,4.58,1.19,0.55,0.17,0,0,0,0,0,0
10,600,0,97.52,25.98,6.88,1.78,0.83,0.25,0.11,0,0,0,0,0
14,840,0,0,0,0,2.56,0,0,0,0,0,0,0,0
15,900,0,0,49.68,14.63,3.75,1.74,0.52,0.22,0,0,0,0,0
20,1200,0,0,86.94,25.07,6.39,2.94,0.86,0.36,0.13,0,0,0,0
25,1500,0,0,0,38.41,9.71,4.44,1.29,0.54,0.19,0,0,0,0
30,1800,0,0,0,0,13.62,6.26,1.81,0.75,0.26,0,0,0,0
35,2100,0,0,0,0,18.17,8.37,2.42,1.00,0.35,0.09,0,0,0
40,2400,0,0,0,0,23.55,10.70,3.11,1.28,0.44,0.12,0,0,0
45,2700,0,0,0,0,29.44,13.46,3.84,1.54,0.55,0.15,0,0,0
50,3000,0,0,0,0,0,16.45,4.67,1.93,0.66,0.17,0,0,0
60,3600,0,0,0,0,0,23.48,6.60,2.71,0.93,0.25,0,0,0
70,4200,0,0,0,0,0,0,8.83,3.66,1.24,0.33,0,0,0
80,4800,0,0,0,0,0,0,11.43,4.67,1.58,0.41,0,0,0
90,5400,0,0,0,0,0,0,14.26,5.82,1.98,0.52,0,0,0
100,6000,0,0,0,0,0,0,0,7.11,2.42,0.63,0.08,0,0
125,7500,0,0,0,0,0,0,0,10.83,3.80,0.95,0.13,0,0
150,9000,0,0,0,0,0,0,0,0,5.15,1.33,0.18,0,0
175,10500,0,0,0,0,0,0,0,0,6.90,1.78,0.23,0,0
200,12000,0,0,0,0,0,0,0,0,8.90,2.27,0.30,0,0
250,15000,0,0,0,0,0,0,0,0,0,3.36,0.45,0.12,0
300,18000,0,0,0,0,0,0,0,0,0,4.85,0.63,0.17,0
350,21000,0,0,0,0,0,0,0,0,0,6.53,0.84,0.22,0
400,24000,0,0,0,0,0,0,0,0,0,0,1.08,0.28,0
500,30000,0,0,0,0,0,0,0,0,0,0,1.66,0.42,0.14
550,33000,0,0,0,0,0,0,0,0,0,0,1.98,0.50,0.16
600,36000,0,0,0,0,0,0,0,0,0,0,2.35,0.59,0.19
700,42000,0,0,0,0,0,0,0,0,0,0,0,0.79,0.26
800,48000,0,0,0,0,0,0,0,0,0,0,0,1.02,0.33
900,54000,0,0,0,0,0,0,0,0,0,0,0,1.27,0.41
950,57000,0,0,0,0,0,0,0,0,0,0,0,0,0.46
1000,60000,0,0,0,0,0,0,0,0,0,0,0,0,0.50
