GPM,GPH,3/8",1/2",3/4",1",1 1/4",1 1/2",2",2 1/2",3",4",5",6",8",10"
1,60,4.30,1.86,0.26,0,0,0,0,0,0,0,0,0,0,0
2,120,15.00,4.78,1.21,0.38,0,0,0,0,0,0,0,0,0,0
3,180,31.80,10.00,2.50,0.77,0,0,0,0,0,0,0,0,0,0
4,240,54.90,17.10,4.21,1.30,0.34,0,0,0,0,0,0,0,0,0
5,300,83.50,25.80,6.32,1.93,0.51,0.24,0,0,0,0,0,0,0,0
6,360,0,36.50,8.87,2.68,0.70,0.33,0.10,0,0,0,0,0,0,0
7,420,0,48.70,11.80,3.56,0.93,0.44,0.13,0,0,0,0,0,0,0
8,480,0,62.70,15.00,4.54,1.18,0.56,0.17,0,0,0,0,0,0,0
9,540,0,0,18.80,5.65,1.46,0.69,0.21,0,0,0,0,0,0,0
10,600,0,0,23.00,6.86,1.77,0.83,0.25,0.11,0.04,0,0,0,0,0
12,720,0,0,32.60,9.62,2.48,1.16,0.34,0.15,0.05,0,0,0,0,0
15,900,0,0,49.70,14.70,3.74,1.75,0.52,0.22,0.08,0,0,0,0,0
20,1200,0,0,86.10,25.10,6.34,2.94,0.87,0.36,0.13,0,0,0,0,0
25,1500,0,0,0,38.60,9.65,4.48,1.30,0.54,0.19,0,0,0,0,0
30,1800,0,0,0,54.60,13.60,6.26,1.82,0.75,0.26,0,0,0,0,0
35,2100,0,0,0,73.40,18.20,8.37,2.42,1.00,0.35,0,0,0,0,0
40,2400,0,0,0,95.00,23.50,10.79,3.10,1.28,0.44,0,0,0,0,0
45,2700,0,0,0,0,30.70,13.45,3.85,1.60,0.55,0,0,0,0,0
70,4200,0,0,0,0,68.80,31.30,8.86,3.63,1.22,0.35,0,0,0,0
100,6000,0,0,0,0,0,62.20,17.40,7.11,2.39,0.63,0,0,0,0
150,9000,0,0,0,0,0,0,38.00,15.40,5.14,1.32,0,0,0,0
200,12000,0,0,0,0,0,0,66.30,26.70,8.90,2.27,0.736,0.30,0.08,0
250,15000,0,0,0,0,0,0,90.70,42.80,14.10,3.60,1.20,0.49,0.13,0
300,18000,0,0,0,0,0,0,0,58.50,19.20,4.89,1.58,0.64,0.16,0.0542
350,21000,0,0,0,0,0,0,0,79.20,26.90,6.72,2.18,0.88,0.23,0.0719
400,24000,0,0,0,0,0,0,0,103.00,33.90,8.47,2.72,1.09,0.279,0.0917
450,27000,0,0,0,0,0,0,0,130.00,42.75,10.65,3.47,1.36,0.348,0.114
500,30000,0,0,0,0,0,0,0,160.00,52.50,13.00,4.16,1.66,0.424,0.138
550,33000,0,0,0,0,0,0,0,193.00,63.20,15.70,4.98,1.99,0.507,0.164
600,36000,0,0,0,0,0,0,0,230.00,74.80,18.60,5.88,2.34,0.597,0.192
650,39000,0,0,0,0,0,0,0,0,87.50,21.70,6.87,2.73,0.694,0.224
700,42000,0,0,0,0,0,0,0,0,101.00,25.00,7.93,3.13,0.797,0.256
750,45000,0,0,0,0,0,0,0,0,116.00,28.60,9.05,3.57,0.907,0.291
800,48000,0,0,0,0,0,0,0,0,131.00,32.40,10.22,4.03,1.02,0.328
850,51000,0,0,0,0,0,0,0,0,148.00,36.50,11.50,4.53,1.147,0.368
900,54000,0,0,0,0,0,0,0,0,165.00,40.80,12.90,5.05,1.27,0.410
950,57000,0,0,0,0,0,0,0,0,184.00,45.30,14.30,5.60,1.41,0.455
1000,60000,0,0,0,0,0,0,0,0,204.00,50.20,15.80,6.17,1.56,0.500
